Tag Value,Owner Reputation,Owner User ID,Owner User Type,Owner Display Name,Is Answered,View Count,Answer Count,Score,Question ID,Last Activity Date,Gold Badges,Silver Badges,Bronze Badges
"c#, sql, visual-studio, entity-framework, visual-studio-2012",1113,1973080,registered,Leyth G,True,74025,12,23,18966113,1709149663,1,2,15
"php, wordpress, woocommerce, product, cart",169,2030399,registered,xgarb,False,10,1,1,78076778,1709149661,0,1,8
"javascript, html, css, reactjs, getboundingclientrect",106,18367514,registered,Adrian,False,33,2,1,78076388,1709149654,0,0,10
"excel, vba",415,3845299,registered,Geeme,True,80,1,1,75852019,1709149651,1,2,10
"c++, file, sfml",1,20572006,registered,Taylor Threader,False,4,0,0,78077196,1709149649,0,0,1
"ios, xcode, app-store, app-store-connect",75,13730686,registered,RRR,True,178,1,0,77809745,1709149644,0,0,7
drake,647,11721691,registered,Nicholas Pfaff,False,39,2,0,78014156,1709149609,1,3,15
"r, shiny, shinydashboard, shinyapps, shiny-reactivity",525,18564314,registered,confusedindividual,False,4,0,0,78077198,1709149596,0,1,7
"javascript, facebook, google-chrome-extension",75,10338420,registered,Pasan Kamburugamuwa,False,9,0,-2,78076749,1709149584,0,1,7
"eclipse, maven, classpath",518,850699,registered,Andre Cardoso,True,95613,7,28,7071470,1709149573,1,3,10
"javascript, html, css",53,23400318,registered,aidanbh16,False,5,0,0,78077195,1709149572,0,0,4
"excel, vba",471,16968735,registered,HSHO,True,81,2,-1,78054771,1709149563,0,2,14
"github, github-api",4532,7483211,registered,Cornelius Roemer,False,4,0,0,78077192,1709149561,1,11,27
parquet,889,433342,registered,user433342,False,4,0,0,78077191,1709149561,1,2,11
"python, visual-studio-code, ide, python-import, cs50",3,14227095,registered,Suiryu,False,1833,4,-1,69183608,1709149540,0,1,4
"python, numpy, performance, optimization, vectorization",363,12569441,registered,Corfucinas,False,16,0,0,78077010,1709149535,0,2,10
"data-structures, circular-queue",43,3064102,registered,DetroitRedCoder,True,255,2,2,29505938,1709149517,0,0,9
"bash, shell, ubuntu, bash-completion, yad",17,19855587,registered,ShashidharM,False,15,1,-3,78076955,1709149510,0,0,4
"azure, system.data, microsoft-fabric",21,19749367,registered,perove,False,26,1,-1,78042073,1709149498,0,0,6
