Tag Value,Owner Reputation,Owner User ID,Owner User Type,Owner Display Name,Is Answered,View Count,Answer Count,Score,Question ID,Gold Badges,Silver Badges,Bronze Badges
"kendo-grid, kendo-asp.net-mvc",207,3520445,registered,user3520445,FALSE,121,2,0,56654273,0,2,6
nginx,1,22538648,registered,Oletilwe Lephalala,FALSE,12,0,0,78125341,0,0,1
"nginx, debian, webserver",99,9845634,registered,KKK,FALSE,9,0,0,78144353,0,0,7
"machine-learning, svm, face-recognition, multiclass-classification",1,23567509,registered,Mradul Bhardwaj,FALSE,16,0,-1,78133540,0,0,1
"java, enums, jvm, branch-prediction",23,23577412,registered,FressMonster,TRUE,75,1,2,78140744,0,0,4
"java, opengl, camera, jogl",19,13317716,registered,Red Richardson,FALSE,43,1,-1,78129976,0,0,3
"javascript, fonts",76845,169992,registered,Lance,TRUE,20,1,0,78143434,9,16,35
"sql, sqlite, sql-update, common-table-expression",3043,126495,registered,Shai Berger,TRUE,4449,2,13,21819183,1,5,11
"linux, unix, thunar",1538,4575793,registered,Cadoiz,TRUE,193,2,1,75384573,0,10,18
"file, search, design-patterns, replace, csh",1,23552357,registered,Pooja T S,FALSE,25,0,0,78120903,0,0,2
"python, linux, hadoop, mapreduce",1,20542929,registered,Reungu Ju,FALSE,13,0,0,78144393,0,0,1
flutter,61,19358805,registered,Gustavo Schwarz,TRUE,12,1,0,78143249,0,0,3
"spring, spring-boot, http, tomcat, redirect",1,22472978,registered,Vladislav Kolesnik,FALSE,19,1,0,78141994,0,0,1
"reactjs, cron, notifications, create-react-app",2366,8418842,registered,Izzi,TRUE,2800,3,0,58783272,1,7,19
"nlp, stanford-nlp, gensim, word2vec, glove",321,9160882,registered,Codir,TRUE,29338,5,28,48962171,1,3,6
"windows, shell, powershell, batch-file, cmd",12060,1306132,registered,Andrey Bushman,TRUE,2838,7,6,31771793,2,6,21
kotlin,1408,7556091,registered,progquester,FALSE,10,0,0,78144396,1,4,13
"ssl, bouncycastle",1004,109114,registered,Bruce Blackshaw,FALSE,21,0,-1,78138838,1,3,10
"android, android-jetpack-compose, wear-os",189,6788557,registered,SRJ,FALSE,27,1,0,78136895,0,1,12
"c++, windows-10, command-line-interface, command-line-arguments, program-entry-point",57169,225074,registered,Thomas Matthews,FALSE,50,0,0,78144392,6,20,36
